Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
Behavior Architecture - Understanding Human Behavior ,0,Beginner level,Flexible schedule,Not specified,"Critical Thinking, Decision-Making, empathy, Human Behavioral Ecology, Heuristic Analysis",13,0
The Art of Vocal Production,4.7,Beginner level,Flexible schedule,"Discuss the various types of dynamics processing and when to use each and apply equalization to a vocal track to enhance and improve the qualityDefine, describe, and apply time based effects and use them to enhance the sound of a vocal trackCompare audio editing techniques, including time based and tempo basedDiscuss how technology has changed the music recording industry","Music, Audio Recording, Singing, Music production, Music technology",11,360
Understanding the Music Business: What is Music Worth?,4.5,Not specified,Flexible schedule,Not specified,Not specified,18,144
Reimagining Blackness and Architecture,4.8,Beginner level,Flexible schedule,Recognize how race and racism shape architecture and the built environment and the role we as individuals play in creating a just and equitable worldExplore work by Black architects and artists and discover how Black makers have shaped and reimagined the built environmentFind inspiration by learning about the ways Black makers have fashioned their own paths and advocated for better futures,"anti-racism, Art, History, Humanities, Architecture",14,67
In Search for the Origins of Korean Philosophy,0,Intermediate level,Flexible schedule,"Understand the terms ‘Name, Language, and Religion’ in the context of Korean identityHave a solid understanding of previous names of KoreaHave a basic understanding of  the early written language Koreans used (prior to Hangeul) and spoken Korean languageBe able to recognize the harmonious co-existence of Confucianism and Buddhism in Korea","Philosophy, History, Culture, Language, Korean philosophy",15,0
Age of Jefferson,4.7,Beginner level,Flexible schedule,Not specified,Not specified,10,441
Christianity & Ecology,0,Beginner level,Flexible schedule,Not specified,"Philosophy, conservation, Religion, Ecology",18,0
Reasoning Across the Disciplines,4.3,Beginner level,Flexible schedule,Not specified,Not specified,16,62
L’Egitto prima e dopo i faraoni. Dalla nascita dello Stato (3000 a.C. ca.) alle prime comunità cristiane (IV secolo d.C.),4.7,Beginner level,Flexible schedule,Not specified,Not specified,5,98
How to Make a Comic Book (Project-Centered Course),4.6,Not specified,Flexible schedule,Not specified,Not specified,15,262
Memoir and Personal Essay: Managing Your Relationship with the Reader,4.3,Beginner level,Flexible schedule,Not specified,Not specified,5,238
Songwriting: Writing the Music,5,Intermediate level,Flexible schedule,Not specified,"Music, Melodic Hooks, Songwriting, Harmony, Melody",11,43
FL Studio Basics,0,Intermediate level,Flexible schedule,Not specified,"Music composition, Music production, Sampling Audio, Mixing",12,0
Creative Writing: The Craft of Style,4.7,Not specified,Flexible schedule,Not specified,Not specified,7,1126
Creative Writing: The Craft of Setting and Description,4.7,Not specified,Flexible schedule,Not specified,Not specified,7,1335
Pro Tools Basics,4.7,Not specified,Flexible schedule,"Identify the various components in the Pro Tools interface and organize session filesDiscuss difference between a synthesizer and sampler and know how to use each of themRecord a live performance into Pro ToolsBalance your production mix by adjusting levels, using pan, and applying effects such as EQ, reverb, and compression","Music, Pro Tools, Music production, Music recording, MIDI",11,583
"Alfabetização Midiática, Informacional e Diálogo Intercultural - UNESCO e UNICAMP",4.9,Beginner level,Flexible schedule,Not specified,"criar seu conteudo mantendo respeito por outras culturas, buscar informações de maneira segura, conhecer as ferramentas disponiveis para pesquisa e verificacao de fontes, agir proativamente no caso de noticias falsas",23,69
Building Your Career in Music: Developing A Brand and Funding Your Music,4.4,Beginner level,Flexible schedule,"Describe and discuss your identity, vision, and intention and identify strategies to balance the management of the band and the creation of the musicDevelop your musical brand, build and leverage a network of industry professionals, and discuss the benefits of partnering with other brandsDevelop a vision for a recording project and engage in a professional conversation with producersPlan, design, and launch a crowdfunding campaign","Social Media, Music business, Networking, Marketing, Crowdfunding",8,460
Основы графического дизайна,4.9,Beginner level,Flexible schedule,"Внедрение основ цвета: визуальный образ, ритм и рисунок в дизайнеИспользование масштаба, веса, направленности, текстуры и пространства в композицииНаборный текст и экспериментирование с формами буквСоздание собственной серии изображений с помощью различных техник создания изображений",Not specified,14,368
Grundlagen des Grafikdesigns,0,Beginner level,Flexible schedule,"Sie implementieren die Grundlagen der Farbenlehre: visuelle Wirkung, Rhythmus und Muster im DesignSie verwenden Maßstab, visuelles Gewicht, Ausrichtung, Struktur und Raum in einer KompositionSie setzen Text und experimentieren mit BuchstabenformenSie erstellen mit verschiedenen Bildgestaltungstechniken Ihre eigenen Bildserien",Not specified,14,0
Art & Ideas: Teaching with Themes,4.8,Intermediate level,Flexible schedule,Explore works of modern and contemporary art through a variety of accessible themes that relate to classroom content and student experiences.Learn about the ways that a thematic approach supports interdisciplinary teaching and learningHear directly from artists about their ideas and processesGain exposure to a range of digital resources available for teaching with themes and incorporating content around works of art into your classroom,Not specified,14,458
The Cosmopolitan Medieval Arabic World,4.8,Beginner level,Flexible schedule,"In this course you will find out that the Arabic Medieval World was diverse, advanced and connected.In this course you will learn that knowledge travels between cultures and that the Arabic Medieval World influenced the world as we know it today.",Not specified,24,380
The Emergence of the Modern Middle East - Part I,4.7,Not specified,Flexible schedule,Not specified,Not specified,7,1118
Approaching Music Theory: Melodic Forms and Simple Harmony,4.7,Intermediate level,Flexible schedule,"Analyze the relationship between the technical details and aesthetics of music.Explore how culture, psychology, physics, formal context, and a sense of play all shape musical language.Discover ways in which music theory may be relevant to enjoying, communicating a love for, and performing music.Demonstrate confidence in the kind of musical self-analysis that can help you develop your own musical ideas.","Music, Jazz, Music composition, Classical Music, Music theory",22,151
The History of Modern Israel - Part I: From an Idea to a State,4.6,Beginner level,Flexible schedule,Not specified,"Holocaust, Middle East, History, Israel",4,778
El Músico Moderno Specialization,4.7,Beginner level,Flexible schedule,Not specified,Music,80,414
