Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
Machine Learning: Theory and Hands-on Practice with Python Specialization,3.7,Intermediate level,Flexible schedule,Explore several classic Supervised and Unsupervised Learning algorithms and introductory Deep Learning topics.  Build and evaluate Machine Learning models utilizing popular Python libraries and compare each algorithm’s strengths and weaknesses.Explain which Machine Learning models would be best to apply to a Machine Learning task based on the data’s properties.Improve model performance by tuning hyperparameters and applying various techniques such as sampling and regularization.,"Unsupervised Learning, Python Programming, Deep Learning, hyperparameter tuning, Supervised Learning",120,39
Orientação a Objetos com Java,4.8,Intermediate level,Flexible schedule,Not specified,"Unit Testing, Interfaces, Law Of Demeter, Java Programming",31,1114
COBOL Programming with VSCode,4.7,Beginner level,Flexible schedule,Summarize the key features of COBOL programRecognize the hardware (IBM Z) and software (z/OS) layers that go hand in hand with Enterprise COBOL Demonstrate an understanding of basic programming fundamentals Demonstrate an understanding of the modern tooling interface (VSCode w/ ZOWE & Z Open Editor),"Computer Programming, Common Business Oriented Language (COBOL), ZOWE, IBM Z, VSCode",15,169
Scalable Microservices for Developers Specialization,0,Intermediate level,Flexible schedule,Not specified,"Spring Cloud, Spring Framework, Microservices, Spring Boot, Object-Oriented Programming (OOP), Functional Programming",120,0
Health Informatics for Healthcare Professionals,0,Beginner level,Flexible schedule,"Describe the history and current status of information systems in healthcareIdentify and describe the functions and evolution of the electronic health record systemsInterpret the relationship between information retrieval, data standards and decision support system","Health Informatics, Data Management, Digital transformation",13,0
JavaScript for Beginners Specialization,4.7,Beginner level,Flexible schedule,Not specified,"web interactivty, Jquery, Data Manipulation, JavaScript",80,722
Introduction to Enterprise Computing,4.7,Beginner level,Flexible schedule,"Identify the different architectural families, explain the enhancements for each architecture family and the functions of an operating systemExplain the concept of a Sysplex and describe methods available for z/OS security. Define the IOCP statements for the IOCDS and explain the concept of activation profiles. Describe the process of IPLing an operating system","Mainframe, Enterprise Software, security, IBM Z, z/OS",9,870
Bayesian Statistics: From Concept to Data Analysis,4.6,Intermediate level,Flexible schedule,Describe & apply the Bayesian approach to statistics.Explain the key differences between Bayesian and Frequentist approaches.Master the basics of the R computing environment.,"Statistics, Bayesian Statistics, Bayesian Inference, R Programming",11,3117
Google Proje Yönetimi Professional Certificate,4.9,Beginner level,Flexible schedule,"Giriş seviyesi bir proje yönetimi pozisyonunda başarılı olmak için gereken uygulamaları ve becerileri kavrayacaksınız.Bir projenin çeşitli evrelerinde etkili proje dokümantasyonu ve eserlerinin nasıl oluşturulacağını öğreneceksiniz.Scrum etkinliklerini uygulamaya, Scrum eserleri oluşturmaya ve Scrum rollerini anlamaya odaklanarak Çevik proje yönetimini öğreneceksiniz.Gerçek dünyayı yansıtan senaryolar aracılığıyla stratejik iletişim, problem çözme ve paydaş yönetimi konularında pratik yapacaksınız.","Proje Planlaması:, Risk Yönetimi, Görev Tahmini, Satın Alma, Stratejik Düşünme, Çevik Yönetim, Etkileme, Problem Çözme, Koçluk, İş Yazışmaları, Proje Yönetimi, Proje Başlatma Belgesi, Paydaş Yönetimi, Projeyi Yürütme, Kalite Yönetimi, Etkili İletişim, Değişim Yönetimi, Kariyer Gelişimi, Kurum Kültürü",240,805
Unordered Data Structures,4.7,Not specified,Flexible schedule,Not specified,Not specified,20,533
